title,date,ICE Bed Capacity,Average ICE Population,Adult Male Population,Adult Female Population
"2025 Kay County Justice Facility, Newkirk, OK - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Freeborn County Adult Detention Center, Albert Lea, MN - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 El Valle Detention Facility, Raymondville, TX - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Chase County Detention Facility, Cottonwood Falls, KS - Mar. 11-13, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Cibola County Correctional Center, Milan, NM - Feb. 25-27, 2025","Apr 30
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Denver Contract Detention Facility – Jul. 7-11, 2024","Apr 28
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Alexandria Staging Facility, Alexandria, LA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Pike County Correctional Facility, Lords Valley, PA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Kandiyohi County Jail, Wilmar, MN - Mar. 11-13, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Eden Detention Center, Eden, TX - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Desert View Modified Community Correctional Facility, Adelanto, CA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-15-0006 P00038: Pine Prairie South Louisiana Correctional Center IGSA – Pine Prairie, LA","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0020 P00022: Freeborn County IGSA – Albert Lea, MN","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0025 P00020: Monroe County IGSA – Monroe, MI","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000009 P00041: Torrance County IGSA – Estancia, NM","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000010 P00032: Laredo Processing Center (Webb County) IGSA – Laredo, TX","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000013 P00036: Joe Corley Detention (Montgomery County) IGSA – Conroe, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000005 P00017: Jackson Parish IGSA – Jonesboro, LA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000006 P00003: Farmville Town IGSA – Farmville, VA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23DIG000001 P00010: Eloy Detention Center IGSA – Eloy, AZ","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000017 P00039: Jones County (Bluebonnet Detention Facility) IGSA – Anson, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000012 P00011: El Paso SPC – El Paso, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0038 P00026: Baker County Sheriff's Department IGSA – MacClenny, F","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0024 P00013: Collier County IGSA – Naples, FL","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000018 P00002: Karnes County Residential Center IGSA – Karnes City, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000012 P00021: South Texas ICE Processing Center - Pearsall, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000012 P00032: South Texas Family Residential Center IGSA – Dilley, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000007 P00022: Otay Mesa CDF - San Diego, CA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-15-D-00015 P00049: Northwest ICE Processing Center (NWIPC) - Tacoma, WA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-12-0002 P00016: Pike County IGSA – Lords Valley, PA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25DIG000014: BASE Ozark County IGSA – Gainesville, MO","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0025 P00019: Monroe County IGSA – Monroe, MI","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000016 P00023: Adams County Correctional Center IGSA - Natchez, MS","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25D00000007: BASE Delaney Hall CDF – Newark, NJ","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 IAH Secure Adult Detention Facility (Polk), Livingston, TX - Feb. 11-13, 2025","Apr 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 El Paso Service Processing Center, El Paso, TX - Feb. 11-13, 2025","Apr 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Florence Service Processing Center, Florence, AZ - Feb. 11-13, 2025","Apr 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Denver Contract Detention Facility, Aurora, CO - Feb. 11-13, 2025","Apr 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Updated Terminology for Communications Materials and Internal and External Communications (Mar. 31, 2025)","Apr 08
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Webb County Detention Center, Laredo, TX - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 South Texas ICE Processing Center, Pearsall, TX - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
