name,field_office,street,city,state,zipcode,Latitude,Longitude
Oldham County Detention Center,Chicago Field Office,3405 West Highway 146,LaGrange,KY,40031,38.38929359999999,-85.4237673
Orange County Jail,New York City Field Office,110 Wells Farm Road,Goshen,NY,10924,41.4049515,-74.35929720000001
Otay Mesa Detention Center,San Diego Field Office,7488 Calzada de la Fuente,San Diego,CA,92154,32.5750242,-116.9147637
Otero County Processing Center,El Paso Field Office,26 McGregor Range Road,Chaparral,NM,88081,32.0768294,-106.2549005
Pennington County Jail,St. Paul Field Office,307 Saint Joseph St,Rapid City,SD,57701,44.07868029999999,-103.221535
Phelps County Jail,St. Paul Field Office,715 5th Avenue,Holdrege,NE,68949,40.4395445,-99.3703646
Phelps County Jail,Chicago Field Office,500 W. 2nd Street,Rolla,MO,65401,37.9457141,-91.77505339999999
Pike County Correctional Facility,Philadelphia Field Office,175 Pike County Blvd.,Lords Valley,PA,18428,41.3890147,-75.0713413
Pine Prairie ICE Processing Center,New Orleans Field Office,1133 Hampton Dupre Road,Pine Prairie,LA,70576,30.7886095,-92.42351459999999
Plymouth County Correctional Facility,Boston Field Office,26 Long Pond Road,Plymouth,MA,02360,41.9307506,-70.6581214
Polk County Jail,St. Paul Field Office,1985 NE 51st Place,Des Moines,IA,50313,41.6534852,-93.587758
Port Isabel Service Processing Center,Harlingen Field Office,27991 Buena Vista Blvd.,Los Fresnos,TX,78566,26.1547362,-97.3404597
Pottawattamie County Jail,St. Paul Field Office,1400 Big Lake Road,Council Bluffs,IA,51501,41.2843648,-95.8649567
Prairieland Detention Facility,Dallas Field Office,1209 Sunflower Lane,Alvarado,TX,76009,32.4195071,-97.19693509999999
Richwood Correctional Center,New Orleans Field Office,180 Pine Bayou Circle,Monroe,LA,71202,32.4569764,-92.0799455
Rio Grande Processing Center,Harlingen Field Office,1001 San Rio Blvd,Laredo,TX,78046,27.377685,-99.4901498
River Correctional Center,New Orleans Field Office,26362 Highway 15,Ferriday,LA,71334,31.5971028,-91.5580974
