name,field_office,street,city,state,zipcode
Pottawattamie County Jail,St. Paul Field Office,1400 Big Lake Road,Council Bluffs,IA,51501
Prairieland Detention Facility,Dallas Field Office,1209 Sunflower Lane,Alvarado,TX,76009
Richwood Correctional Center,New Orleans Field Office,180 Pine Bayou Circle,Monroe,LA,71202
Rio Grande Processing Center,Harlingen Field Office,1001 San Rio Blvd,Laredo,TX,78046
River Correctional Center,New Orleans Field Office,26362 Highway 15,Ferriday,LA,71334
Rolling Plains Detention Center,Dallas Field Office,118 County Road 206,Haskell,TX,79521
San Luis Regional Detention Center,San Diego Field Office,406 North Avenue D,San Luis,AZ,85349
Seneca County Jail,Detroit Field Office,3040 South State Route 100,Tiffin,OH,44883
Sherburne County Jail Services,St. Paul Field Office,13880 Business Center Drive NW,Elk River,MN,55330
South Louisiana ICE Processing Center,New Orleans Field Office,3843 Stagg Ave,Basile,LA,70515
South Texas ICE Processing Center,San Antonio Field Office,566 Veterans Drive,Pearsall,TX,78061
St. Clair County Jail,Detroit Field Office,1170 Michigan Road,Port Huron,MI,48060
Ste. Genevieve County Detention Center,Chicago Field Office,5 Basler Drive,Ste. Genevieve,MO,63670
Stewart Detention Center,Atlanta Field Office,146 CCA Road,Lumpkin,GA,31815
Strafford County Corrections,Boston Field Office,266 County Farm Road,Dover,NH,03820
Sweetwater County Detention Center,Denver Field Office,50140 US Highway 191 South,Rock Springs,WY,82901
T. Don Hutto Detention Center,San Antonio Field Office,1001 Welch Street,Taylor,TX,76574
Torrance County Detention Facility,El Paso Field Office,209 County Road A049,Estancia,NM,87016
Washoe County Jail,Salt Lake City Field Office,911 E Parr Blvd,Reno,NV,89512
Winn Correctional Center,New Orleans Field Office,560 Gum Springs Road,Winnfield,LA,71483
Wyatt Detention Facility,Boston Field Office,950 High Street,Central Falls,RI,02863
