category,casecount,subcounty,county,state
county,35,,Ford County,Illinois
county,22,,Franklin County,Alabama
county,3,,Fulton County,Arkansas
county,0,,Gallatin County,Illinois
county,0,,Greene County,Alabama
county,149,,Grundy County,Illinois
county,2,,Hamilton County,Florida
county,6,,Hancock County,Georgia
county,0,,Hardin County,Illinois
county,1,,Henderson County,Illinois
county,47,,Henry County,Alabama
county,44,,Iroquois County,Illinois
county,142,,Jackson County,Alabama
county,8,,Jasper County,Georgia
county,41,,Jefferson County,Alabama
county,9,,Jersey County,Illinois
county,55,,Jo Daviess County,Illinois
county,2,,Johnson County,Arkansas
county,9866,,Kane County,Illinois
county,684,,Kankakee County,Illinois
county,589,,Kendall County,Illinois
county,77,,Knox County,Illinois
county,7293,,Lake County,California
county,371,,LaSalle County,Illinois
county,8,,Lawrence County,Alabama
county,26,,Lee County,Alabama
county,88,,Livingston County,Illinois
county,14,,Logan County,Arkansas
county,11,,McDonough County,Illinois
county,1554,,McHenry County,Illinois
county,898,,McLean County,Illinois
county,193,,Macon County,Alabama
county,10,,Macoupin County,Illinois
county,627,,Madison County,Alabama
county,46,,Marion County,Alabama
county,7,,Marshall County,Alabama
county,7,,Mason County,Illinois
county,14,,Massac County,Illinois
county,0,,Menard County,Illinois
county,1,,Mercer County,Illinois
county,8,,Monroe County,Alabama
county,13,,Montgomery County,Alabama
county,72,,Morgan County,Alabama
county,9,,Moultrie County,Illinois
county,174,,Ogle County,Illinois
county,888,,Peoria County,Illinois
county,29,,Perry County,Alabama
county,4,,Piatt County,Illinois
county,4,,Pike County,Alabama
county,1,,Pope County,Arkansas
county,1,,Pulaski County,Arkansas
county,0,,Putnam County,Florida
county,115,,Randolph County,Alabama
county,9,,Richland County,Illinois
county,738,,Rock Island County,Illinois
county,563,,St. Clair County,Alabama
county,49,,Saline County,Arkansas
county,274,,Sangamon County,Illinois
county,11,,Schuyler County,Illinois
county,0,,Scott County,Arkansas
county,1,,Shelby County,Alabama
county,0,,Stark County,Illinois
county,306,,Stephenson County,Illinois
county,55,,Tazewell County,Illinois
county,23,,Union County,Arkansas
county,113,,Vermilion County,Illinois
county,17,,Wabash County,Illinois
county,68,,Warren County,Georgia
county,20,,Washington County,Alabama
county,13,,Wayne County,Georgia
county,10,,White County,Arkansas
county,72,,Whiteside County,Illinois
county,6893,,Will County,Illinois
county,72,,Williamson County,Illinois
county,2144,,Winnebago County,Illinois
county,12,,Woodford County,Illinois
county,26,,Adams County,Colorado
county,3617,,Allen County,Indiana
county,1070,,Bartholomew County,Indiana
county,54,,Benton County,Arkansas
county,15,,Blackford County,Indiana
county,245,,Boone County,Arkansas
county,30,,Brown County,Illinois
county,43,,Carroll County,Arkansas
county,1329,,Cass County,Illinois
county,986,,Clark County,Arkansas
county,239,,Clay County,Alabama
county,611,,Clinton County,Illinois
county,9,,Crawford County,Arkansas
county,901,,Daviess County,Indiana
county,27,,Dearborn County,Indiana
county,46,,Decatur County,Georgia
county,109,,DeKalb County,Alabama
county,100,,Delaware County,Indiana
county,807,,Dubois County,Indiana
county,3718,,Elkhart County,Indiana
county,8,,Fayette County,Alabama
county,214,,Floyd County,Georgia
county,36,,Fountain County,Indiana
county,11,,Franklin County,Alabama
county,18,,Fulton County,Arkansas
county,98,,Gibson County,Indiana
county,152,,Grant County,Arkansas
county,9,,Greene County,Alabama
county,3776,,Hamilton County,Florida
county,316,,Hancock County,Georgia
county,79,,Harrison County,Indiana
county,1826,,Hendricks County,Indiana
county,38,,Henry County,Alabama
county,135,,Howard County,Arkansas
county,208,,Huntington County,Indiana
county,1465,,Jackson County,Alabama
county,166,,Jasper County,Georgia
county,106,,Jay County,Indiana
county,77,,Jefferson County,Alabama
county,92,,Jennings County,Indiana
county,1414,,Johnson County,Arkansas
county,207,,Knox County,Illinois
county,583,,Kosciusko County,Indiana
county,58,,LaGrange County,Indiana
county,2193,,Lake County,California
county,334,,LaPorte County,Indiana
county,28,,Lawrence County,Alabama
county,619,,Madison County,Alabama
county,37680,,Marion County,Alabama
county,368,,Marshall County,Alabama
county,2,,Martin County,Florida
county,119,,Miami County,Indiana
county,475,,Monroe County,Alabama
county,398,,Montgomery County,Alabama
county,226,,Morgan County,Alabama
county,56,,Newton County,Arkansas
county,284,,Noble County,Indiana
county,1,,Ohio County,Indiana
county,12,,Orange County,California
county,19,,Owen County,Indiana
county,18,,Parke County,Indiana
county,31,,Perry County,Alabama
county,10,,Pike County,Alabama
county,172,,Porter County,Indiana
county,26,,Posey County,Indiana
county,9,,Pulaski County,Arkansas
county,28,,Putnam County,Florida
county,200,,Randolph County,Alabama
county,25,,Ripley County,Indiana
county,15,,Rush County,Indiana
county,1224,,St. Joseph County,Indiana
county,65,,Scott County,Arkansas
county,303,,Shelby County,Alabama
county,25,,Spencer County,Indiana
county,12,,Starke County,Indiana
county,128,,Steuben County,Indiana
county,4,,Sullivan County,Indiana
county,6,,Switzerland County,Indiana
county,1185,,Tippecanoe County,Indiana
county,21,,Tipton County,Indiana
county,3,,Union County,Arkansas
county,2403,,Vanderburgh County,Indiana
county,1,,Vermillion County,Indiana
county,252,,Vigo County,Indiana
county,63,,Wabash County,Illinois
county,18,,Warren County,Georgia
county,107,,Warrick County,Indiana
county,27,,Washington County,Alabama
county,255,,Wayne County,Georgia
county,140,,Wells County,Indiana
county,353,,White County,Arkansas
county,10,,Whitley County,Indiana
county,25,,Adair County,Iowa
county,5,,Adams County,Colorado
county,333,,Allamakee County,Iowa
county,4,,Appanoose County,Iowa
county,0,,Audubon County,Iowa
county,7,,Benton County,Arkansas
county,866,,Black Hawk County,Iowa
county,33,,Boone County,Arkansas
county,38,,Bremer County,Iowa
county,4,,Buchanan County,Iowa
county,546,,Buena Vista County,Iowa
county,1,,Butler County,Alabama
county,1,,Calhoun County,Alabama
county,43,,Carroll County,Arkansas
county,22,,Cass County,Illinois
county,25,,Cedar County,Iowa
county,72,,Cerro Gordo County,Iowa
county,30,,Cherokee County,Alabama
county,65,,Chickasaw County,Iowa
county,296,,Clarke County,Alabama
county,83,,Clay County,Alabama
county,84,,Clayton County,Georgia
county,56,,Clinton County,Illinois
county,510,,Crawford County,Arkansas
county,701,,Dallas County,Alabama
county,0,,Davis County,Iowa
county,12,,Decatur County,Georgia
county,13,,Delaware County,Indiana
county,30,,Des Moines County,Iowa
county,35,,Dickinson County,Iowa
county,157,,Dubuque County,Iowa
